type,ref,registered,title,host_parties,other_parties,methodologies,reductions,url
PoA,10610,2020-09-28,The Uganda Improved Cookstove and Water Purifier Project by the Korea East-West Power Company,Uganda,,AMS-III.AV. ver. 8; AMS-II.G. ver. 11,0,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=8SKMFQCXW62B7ZUYHVTIGOJL1PDRE3
PoA,10576,2020-06-01,Ghana Improved Cookstove Project by EWP in Republic of Korea,Ghana,,AMS-II.G. ver. 10,0,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=ZYM1P30K5WINT7AFXVEBQJU6CRGO24
PoA,10564,2020-03-05,Improved cookstove program for the sustainable development of Madagascar,Madagascar,,AMS-II.G. ver. 10,0,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=C47T1HFVRM52NQPU8LIY6GDOK9ESWA
PoA,10538,2019-11-22,Development of a sustainable drinking water supply platform based on clean development mechanism,Bangladesh,,AMS-III.AV. ver. 6,0,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=2O0W8I19AQKCL6HNU7V5ESF4RJM3TX
PoA,10471,2019-03-25,The Project of CCC program of Activities (PoA) for Distribution of Improved Cookstoves (ICS) in Developing South and Southeast Asia Countries (Myanmar),Myanmar,Republic of Korea,AMS-II.G. ver. 9,21656,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=LGABR9Q0JYH68VN5WI7MUXTEKDCSOP
PoA,10415,2018-08-28,Clean Energy Program Supported by Republic of Korea,Myanmar,,AMS-II.G. ver. 8,25515,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=BQ0WHAOXJLK25SCPVF4GZ97ER6MD1N
PoA,10431,2018-06-23,Improved cookstove program in Bangladesh supported by the Republic of Korea,Bangladesh,Republic of Korea,AMS-II.G. ver. 8,0,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=42JAZDVK0OEHNFRX85C9LQUWMTB71Y
PoA,10430,2018-05-31,Man and Man Enterprise Improved Cooking Stoves CDM Programme in Ghana supported by Republic of Korea,Ghana,Republic of Korea,AMS-II.G. ver. 8,1,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=KQXLWC1G6IEY8OHVDFU9S27T5ZNMRP
PoA,9889,2015-09-09,PoA for Promotion of the Improved Water Mills (IWM) in Nepal,Nepal,Sweden,AMS-I.B. ver. 12,11022,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=93J80QPO5I7HEA2S4KUZ1DWMCNBXL6
PoA,10186,2015-08-28,Accelerating Electrification through Grid Extension and Off-Grid Electrification in Rural Areas of Uganda,Uganda,Switzerland; Sweden,AMS-III.AR. ver. 5; AMS-I.L. ver. 3; AMS-III.BB. ver. 2,64000,https://cdm.unfccc.int/ProgrammeOfActivities/gotoPoA?id=COMRQ5GSBJV034ID2P6W8LYZFE9UNA
